Date,TemperatureRessentie
2024-10-19,36.43
2024-10-19,36.34
2024-10-19,36.23
2024-10-19,35.59
2024-10-19,35.68
2024-10-19,35.63
2024-10-20,31.73
2024-10-20,30.26
2024-10-20,33.33
2024-10-20,36.12
2024-10-20,35.21
2024-10-20,31.36
2024-10-20,33.79
2024-10-20,44.75
2024-10-20,47.91
2024-10-20,47.02
2024-10-20,43.34
2024-10-20,38.33
2024-10-20,34.53
2024-10-20,33.81
2024-10-20,32.14
2024-10-20,29.63
2024-10-20,27.64
2024-10-20,21.99
2024-10-20,12.72
2024-10-20,9.26
2024-10-20,11.6
2024-10-20,14.05
2024-10-20,13.72
2024-10-20,14.08
2024-10-21,19.89
2024-10-21,28.91
2024-10-21,30.21
2024-10-21,28.89
2024-10-21,31.16
2024-10-21,29.8
2024-10-21,29.08
2024-10-21,30.4
2024-10-21,33.86
2024-10-21,35.32
2024-10-21,32.77
2024-10-21,32.6
2024-10-21,33.81
2024-10-21,31.97
2024-10-21,27.35
2024-10-21,23.75
2024-10-21,23.22
2024-10-21,21.37
2024-10-21,14.38
2024-10-21,12.94
2024-10-21,15.28
2024-10-21,15.85
2024-10-21,14.79
2024-10-21,11.83
2024-10-22,11.2
2024-10-22,12.74
2024-10-22,13.18
2024-10-22,11.98
2024-10-22,10.55
2024-10-22,9.84
2024-10-22,12.84
2024-10-22,14.96
2024-10-22,19.9
2024-10-22,27.5
2024-10-22,29.18
2024-10-22,30.33
2024-10-22,30.2
2024-10-22,27.83
2024-10-22,25.44
2024-10-22,23.64
2024-10-22,20.61
2024-10-22,14.57
2024-10-22,7.42
2024-10-22,6.69
2024-10-22,11.59
2024-10-22,14.25
2024-10-22,14.4
2024-10-22,15.34
2024-10-23,12.99
2024-10-23,11.65
2024-10-23,8.0
2024-10-23,5.66
2024-10-23,8.41
2024-10-23,12.18
2024-10-23,16.39
2024-10-23,22.46
2024-10-23,28.95
2024-10-23,30.56
2024-10-23,27.66
2024-10-23,27.24
2024-10-23,28.32
2024-10-23,27.07
2024-10-23,23.56
2024-10-23,20.25
2024-10-23,17.92
2024-10-23,15.23
2024-10-23,11.47
2024-10-23,10.36
2024-10-23,14.02
2024-10-23,20.07
2024-10-23,26.18
2024-10-23,27.46
2024-10-24,28.37
2024-10-24,29.72
2024-10-24,25.16
2024-10-24,24.03
2024-10-24,27.75
2024-10-24,28.88
2024-10-24,31.3
2024-10-24,40.92
2024-10-24,47.91
2024-10-24,45.77
2024-10-24,37.3
2024-10-24,34.28
2024-10-24,33.83
2024-10-24,29.89
2024-10-24,27.97
2024-10-24,27.75
2024-10-24,26.13
2024-10-24,24.07
2024-10-24,17.2
2024-10-24,14.07
2024-10-24,21.55
2024-10-24,31.66
2024-10-24,36.02
2024-10-24,35.99
2024-10-25,35.79
2024-10-25,35.69
2024-10-25,36.11
2024-10-25,35.93
2024-10-25,35.94
2024-10-25,36.32
2024-10-25,37.75
2024-10-25,43.2
2024-10-25,48.31
2024-10-25,44.48
2024-10-25,38.24
2024-10-25,38.56
2024-10-25,38.62
2024-10-25,36.72
2024-10-25,33.54
2024-10-25,34.69
2024-10-25,38.1
2024-10-25,39.24
2024-10-25,36.97
2024-10-25,36.32
2024-10-25,36.23
2024-10-25,35.46
2024-10-25,34.73
2024-10-25,33.93
2024-10-26,34.16
2024-10-26,35.83
2024-10-26,36.43
2024-10-26,36.42
2024-10-26,36.4
2024-10-26,36.42
2024-10-26,37.94
2024-10-26,42.08
2024-10-26,47.34
2024-10-26,48.74
2024-10-26,45.88
2024-10-26,46.58
2024-10-26,47.46
2024-10-26,46.01
2024-10-26,41.36
2024-10-26,36.01
2024-10-26,33.52
2024-10-26,33.57
2024-10-26,32.94
2024-10-26,33.2
2024-10-26,34.67
2024-10-26,36.0
2024-10-26,36.26
2024-10-26,35.29
2024-10-27,35.3
2024-10-27,35.51
2024-10-27,34.33
2024-10-27,30.87
2024-10-27,29.25
2024-10-27,30.28
2024-10-27,33.88
2024-10-27,42.45
2024-10-27,49.36
2024-10-27,48.35
2024-10-27,43.74
2024-10-27,43.04
2024-10-27,42.23
2024-10-27,40.86
2024-10-27,39.58
2024-10-27,36.97
2024-10-27,34.19
2024-10-27,32.66
2024-10-27,30.05
2024-10-27,30.95
2024-10-27,36.07
2024-10-27,35.72
2024-10-27,32.51
2024-10-27,32.73
2024-10-28,36.17
2024-10-28,36.22
2024-10-28,36.26
2024-10-28,36.27
2024-10-28,36.26
2024-10-28,36.35
2024-10-28,39.02
2024-10-28,45.79
2024-10-28,49.42
2024-10-28,46.65
2024-10-28,42.47
2024-10-28,42.64
2024-10-28,42.66
2024-10-28,42.66
2024-10-28,40.43
2024-10-28,35.78
2024-10-28,36.03
2024-10-28,35.89
2024-10-28,29.09
2024-10-28,29.74
2024-10-28,33.97
2024-10-28,34.0
2024-10-28,33.0
2024-10-28,30.84
2024-10-29,32.1
2024-10-29,34.2
2024-10-29,32.77
2024-10-29,32.62
2024-10-29,35.21
2024-10-29,36.44
2024-10-29,33.13
2024-10-29,32.59
2024-10-29,37.84
2024-10-29,38.35
2024-10-29,35.26
2024-10-29,35.75
2024-10-29,35.91
2024-10-29,34.93
2024-10-29,33.04
2024-10-29,30.05
2024-10-29,26.47
2024-10-29,24.36
2024-10-29,20.24
2024-10-29,18.14
2024-10-29,22.02
2024-10-29,27.22
2024-10-29,30.71
2024-10-29,32.09
2024-10-30,31.18
2024-10-30,23.29
2024-10-30,16.4
2024-10-30,14.88
2024-10-30,17.07
2024-10-30,15.91
2024-10-30,15.7
2024-10-30,21.87
2024-10-30,30.63
2024-10-30,33.5
2024-10-30,31.38
2024-10-30,31.87
2024-10-30,33.63
2024-10-30,33.93
2024-10-30,31.42
2024-10-30,27.58
2024-10-30,23.38
2024-10-30,17.77
2024-10-30,11.12
2024-10-30,11.38
2024-10-30,16.62
2024-10-30,23.75
2024-10-30,31.73
2024-10-30,34.69
2024-10-31,35.98
2024-10-31,32.01
2024-10-31,28.87
2024-10-31,30.27
2024-10-31,30.24
2024-10-31,27.73
2024-10-31,30.5
2024-10-31,39.41
2024-10-31,47.03
2024-10-31,47.18
2024-10-31,46.16
2024-10-31,45.61
2024-10-31,42.75
2024-10-31,39.74
2024-10-31,36.57
2024-10-31,37.03
2024-10-31,40.01
2024-10-31,38.72
2024-10-31,35.06
2024-10-31,36.13
2024-10-31,35.49
2024-10-31,34.54
2024-10-31,32.97
2024-10-31,32.5
2024-11-01,27.05
2024-11-01,26.59
2024-11-01,31.71
2024-11-01,33.95
2024-11-01,36.1
2024-11-01,35.84
2024-11-01,34.13
2024-11-01,38.73
2024-11-01,45.79
2024-11-01,47.88
2024-11-01,41.84
2024-11-01,36.38
2024-11-01,37.65
2024-11-01,39.11
2024-11-01,38.53
2024-11-01,33.4
2024-11-01,31.53
2024-11-01,33.38
2024-11-01,32.48
2024-11-01,36.01
2024-11-01,35.8
2024-11-01,35.16
2024-11-01,34.52
2024-11-01,34.15
2024-11-02,33.13
2024-11-02,31.05
2024-11-02,31.64
2024-11-02,33.64
2024-11-02,34.84
2024-11-02,34.41
2024-11-02,36.84
2024-11-02,46.07
2024-11-02,51.42
2024-11-02,48.61
2024-11-02,40.99
2024-11-02,38.72
2024-11-02,37.87
2024-11-02,35.84
2024-11-02,35.06
2024-11-02,38.3
2024-11-02,40.27
2024-11-02,37.57
2024-11-02,31.53
2024-11-02,26.17
2024-11-02,27.2
2024-11-02,23.35
2024-11-02,23.51
2024-11-02,32.81
2024-11-03,36.02
2024-11-03,34.99
2024-11-03,35.21
2024-11-03,35.0
2024-11-03,34.01
2024-11-03,33.72
2024-11-03,37.41
2024-11-03,45.6
2024-11-03,50.18
2024-11-03,45.18
2024-11-03,40.62
2024-11-03,42.57
2024-11-03,43.05
2024-11-03,41.46
2024-11-03,40.15
2024-11-03,40.14
2024-11-03,38.75
2024-11-03,36.78
2024-11-03,34.51
2024-11-03,33.72
2024-11-03,35.85
2024-11-03,35.98
2024-11-03,36.15
2024-11-03,36.11
2024-11-04,36.1
2024-11-04,36.11
2024-11-04,36.07
2024-11-04,35.85
2024-11-04,35.64
2024-11-04,34.65
2024-11-04,37.35
2024-11-04,44.95
2024-11-04,49.51
2024-11-04,48.62
2024-11-04,44.29
2024-11-04,44.48
2024-11-04,45.37
2024-11-04,43.78
2024-11-04,41.16
2024-11-04,39.5
2024-11-04,36.48
2024-11-04,33.26
2024-11-04,26.67
2024-11-04,21.62
2024-11-04,26.61
2024-11-04,32.78
2024-11-04,34.38
2024-11-04,35.7
2024-11-05,33.96
2024-11-05,32.61
2024-11-05,33.1
2024-11-05,34.96
2024-11-05,35.07
2024-11-05,33.39
2024-11-05,35.95
2024-11-05,43.02
2024-11-05,48.9
2024-11-05,48.96
2024-11-05,45.56
2024-11-05,44.09
2024-11-05,41.49
2024-11-05,39.12
2024-11-05,35.59
2024-11-05,28.23
2024-11-05,25.3
2024-11-05,27.26
2024-11-05,22.31
2024-11-05,17.88
2024-11-05,19.5
2024-11-05,23.26
2024-11-05,23.58
2024-11-05,22.72
